AY278675	Xenorhabdus beddingii
GQ149086	Xenorhabdus ishibashii
KX602187	Xenorhabdus eapokensis
D78010	Xenorhabdus poinarii
DQ211709	Xenorhabdus doucetiae
DQ211717	Xenorhabdus romanii
DQ211710	Xenorhabdus griffiniae
DQ211715	Xenorhabdus mauleonii
HQ877464	Xenorhabdus magdalenensis
AY278674	Xenorhabdus nematophila
AY521244	Xenorhabdus cabanillasii
AM040494	Xenorhabdus indica
DQ211713	Xenorhabdus miraniensis
AJ810295	Xenorhabdus szentirmaii
AY278673	Xenorhabdus bovienii
AJ810294	Xenorhabdus ehlersii
KX602193	Xenorhabdus thuongxuanensis
AJ810293	Xenorhabdus budapestensis
DQ211716	Xenorhabdus kozodoii
DQ205450	Xenorhabdus koppenhoeferi
HQ142625	Xenorhabdus khoisanae
D78008	Xenorhabdus japonica
DQ205447	Xenorhabdus vietnamensis
AJ810292	Xenorhabdus innexi
DQ211719	Xenorhabdus hominickii
DQ202309	Xenorhabdus stockiae
FJ796245	Proteus cibarius
DQ885256	Proteus mirabilis
HE978268	Proteus vulgaris
LN809884	Proteus penneri
LN680103	Proteus terrae
FR733709	Proteus hauseri
DQ885259	Cosenzaea myxofaciens
AM040492	Providencia rettgeri
AM040495	Providencia vermicola
AF008581	Providencia stuartii
HQ888847	Providencia thailandensis
HM038003	Providencia sneebia
AJ301684	Providencia alcalifaciens
AM040489	Providencia rustigianii
HM038004	Providencia burhodogranariea
AM040490	Providencia heimbachae
AJ301681	Morganella morganii subsp. morganii
DQ358146	Morganella morganii subsp. sibonii
DQ358135	Morganella psychrotolerans
AJ233421	Leminorella grimontii
AB566415	Gibbsiella dentisursi
GU562337	Gibbsiella quercinecans
CP007044	Chania multitudinisentens
KF308333	Gibbsiella greigii
AB004751	Serratia rubidaea
U80210	Brenneria salicis
AJ233416	Lonsdalea quercina subsp. quercina
JF311441	Lonsdalea quercina subsp. iberica
JF311442	Lonsdalea quercina subsp. britannica
JQ291575	Lonsdalea quercina subsp. populi
M99060	Sodalis glossinidius
JX444565	Sodalis praecaptivus
AM774412	Biostraticola tofi
KF639914	Dickeya solani
KF308291	Brenneria roseae subsp. roseae
KF308292	Brenneria roseae subsp. americana
JN544202	Brenneria goodwinii
AJ233418	Brenneria rubrifaciens
AF520707	Dickeya dadantii
KT992690	Dickeya fangzhongdai
AF520708	Dickeya dianthicola
Z96096	Dickeya paradisiaca
AJ233412	Dickeya chrysanthemi
AF520712	Dickeya dadantii subsp. dieffenbachiae
AF520711	Dickeya zeae
JX273704	Dickeya aquatica
KJ632518	Brenneria populi
AJ233409	Brenneria alni
U80203	Brenneria nigrifluens
AF273037	Samsonia erythrinae
AJ223407	Pectobacterium carotovorum subsp. odoriferum
AJ233411	Pectobacterium carotovorum subsp. carotovorum
AJ223409	Pectobacterium cacticida
U80199	Pectobacterium wasabiae
CP015749	Pectobacterium parmentieri
JN600323	Pectobacterium aroidearum
Z96090	Pectobacterium atrosepticum
U80198	Pectobacterium betavasculorum
X60418	Plesiomonas shigelloides
FJ230076	Aeromonas sanarellii
FJ230077	Aeromonas taiwanensis
X71121	Aeromonas enteropelogenes
X60408	Aeromonas punctata subsp. punctata
AJ508765	Aeromonas dhakensis
X74674	Aeromonas punctata subsp. caviae
EU085557	Aeromonas aquariorum
AM262151	Aeromonas hydrophila subsp. ranae
X60410	Aeromonas media
DQ207728	Aeromonas hydrophila subsp. hydrophila
FR870443	Aeromonas hydrophila subsp. anaerogenes
FR775967	Aeromonas rivipollensis
U96412	Anaerobiospirillum succiniciproducens
Y17600	Succinivibrio dextrinosolvens
AJ420985	Anaerobiospirillum thomasii
AB490810	Succinatimonas hippei
Y17599	Succinimonas amylolytica
Y15992	Ruminobacter amylophilus
AZUK01000001	Tolumonas lignilytica
GU370947	Tolumonas osonensis
X92889	Tolumonas auensis
DQ013306	Pseudaeromonas sharmana
KT184595	Pseudaeromonas pectinilytica
FM999971	Aeromonas piscicola
AJ009859	Aeromonas salmonicida subsp. smithia
AB027542	Aeromonas salmonicida subsp. masoucida
X60407	Aeromonas salmonicida subsp. achromogenes
X60406	Aeromonas bestiarum
AY987751	Aeromonas salmonicida subsp. salmonicida
AF134065	Aeromonas salmonicida subsp. pectinolytica
AY532690	Aeromonas molluscorum
FJ976900	Aeromonas rivuli
AJ224309	Aeromonas encheleia
AJ224308	Aeromonas popoffii
X60412	Aeromonas sobria
DQ504429	Aeromonas bivalvium
X60411	Aeromonas eucrenophila
AJ458402	Aeromonas tecta
X71120	Aeromonas ichthiosmia
X60414	Aeromonas veronii
HE611955	Aeromonas australiensis
FJ230078	Aeromonas fluvialis
X60413	Aeromonas jandaei
GQ365710	Aeromonas diversa
X60416	Aeromonas schubertii
AJ536821	Aeromonas simiae
LC004912	Vibrio hyugaensis
AB562589	Vibrio jasicida
GU078672	Vibrio communis
GU018180	Vibrio owensii
AY750575	Vibrio harveyi
AJ316187	Vibrio rotiferianus
X56576	Vibrio alginolyticus
X56575	Vibrio campbellii
AJ514916	Vibrio fortis
AJ293802	Vibrio pelagius
X99761	Vibrio mytili
X99762	Vibrio diabolicus
AB428897	Vibrio azureus
AB428909	Vibrio sagamiensis
AF388386	Vibrio parahaemolyticus
X74714	Vibrio natriegens
FJ009624	Vibrio atypicus
X74723	Vibrio proteolyticus
HE613734	Vibrio aestivus
FJ847833	Vibrio marisflavi
JQ434105	Vibrio mexicanus
GU929925	Vibrio maritimus
GU929924	Vibrio variabilis
X74717	Vibrio nigripulchritudo
KT732014	Vibrio sonorensis
DQ451211	Vibrio sinaloensis
AJ316172	Vibrio brasiliensis
LC143378	Vibrio japonicus
GU223601	Vibrio caribbeanicus
AJ440005	Vibrio coralliilyticus
AJ316171	Vibrio neptunius
JQ283456	Vibrio olivae
GQ397859	Vibrio xiamenensis
AJ345063	Vibrio hepatarius
X74725	Vibrio tubiashii subsp. tubiashii
AJ316181	Vibrio xuii
X74716	Vibrio nereis
X76335	Vibrio fluvialis
X76336	Vibrio furnissii
GU951698	Vibrio tritonius
EU143360	Vibrio areninigrae
AY254040	Vibrio hispanicus
LUAX01000005	Vibrio europaeus
AY792622	Vibrio tubiashii subsp. europaeus
JF316656	Vibrio alfacsensis
X74719	Vibrio orientalis
X76337	Vibrio cholerae
EF032499	Vibrio albensis
X74713	Vibrio mimicus
KJ647312	Vibrio metoecus
EF488079	Vibrio porteresiae
DQ847123	Vibrio rhizosphaerae
AF462458	Vibrio ruber
EU144014	Vibrio mangrovi
HE613736	Vibrio quintilis
X74705	Vibrio gazogenes
AM235737	Vibrio anguillarum
X74718	Vibrio ordalii
X74711	Vibrio metschnikovii
X74701	Vibrio diazotrophicus
GQ352641	Vibrio plantisponsor
KJ807108	Vibrio cidicii
X74715	Vibrio navarrensis
X76333	Vibrio vulnificus
X74689	Vibrio aestuarianus
AJ421445	Vibrio ichthyoenteri
U46579	Vibrio scophthalmi
HG931125	Vibrio renipiscarius
X74698	Vibrio cincinnatiensis
KC762315	Vibrio salilacus
KM099166	Vibrio oceanisediminis
DQ097523	Vibrio litoralis
AB013297	Vibrio rumoiensis
LC060680	Vibrio algivorus
FJ968722	Vibrio casei
AJ421444	Vibrio penaeicida
Y08430	Vibrio tapetis subsp. tapetis
HF955040	Vibrio cortegadensis
AJ296159	Vibrio ostreicida
Y13830	Vibrio pectenicida
AM162657	Vibrio kanaloae
AJ515230	Vibrio splendidus
AM162656	Vibrio cyclitrophicus
EU541605	Vibrio gallaecicus
AJ278881	Vibrio lentus
AJ316192	Vibrio tasmaniensis
EF599163	Vibrio atlanticus
EF599164	Vibrio artabrorum
HE978310	Vibrio toranzoniae
EF599162	Vibrio celticus
EF094888	Vibrio gigantis
AJ316199	Vibrio chagasii
EF094887	Vibrio crassostreae
AJ491290	Vibrio pomeroyi
KC751062	Vibrio madracius
X74710	Vibrio mediterranei
HF541973	Vibrio thalassae
AJ316194	Vibrio pacinii
JQ434120	Vibrio crosai
HF568951	Vibrio bivalvicida
KF487035	Vibrio panuliri
AJ630103	Vibrio ponticus
AJ437616	Aliivibrio logei
X70643	Aliivibrio salmonicida
AB464964	Aliivibrio sifiae
AJ132227	Aliivibrio wodanis
EU541604	Aliivibrio finisterrensis
X74702	Aliivibrio fischeri
AY257972	Vibrio gallicus
AY155585	Vibrio superstes
DQ922915	Vibrio comitans
DQ922920	Vibrio inusitatus
DQ914239	Vibrio rarus
EF599161	Vibrio breoganii
AY426980	Vibrio ezurae
AY426979	Vibrio neonatus
AB000390	Vibrio halioticoli
AJ310647	Vibrio agarivorans
EU082035	Vibrio hangzhouensis
KP342514	Vibrio astriarenae
